---Marron---
R= 188  G= 209  B= 172  
R= 171  G= 201  B= 160  
R= 161  G= 199  B= 159  
R= 166  G= 201  B= 160  
R= 166  G= 201  B= 160  
R= 165  G= 209  B= 162  
R= 174  G= 205  B= 174  
R= 175  G= 201  B= 160  
R= 167  G= 220  B= 179  
R= 176  G= 201  B= 160  
R= 162  G= 203  B= 160  
R= 166  G= 201  B= 166  
R= 171  G= 207  B= 163  
R= 174  G= 211  B= 169  
R= 165  G= 200  B= 158  
R= 159  G= 210  B= 166  
R= 172  G= 209  B= 164  
R= 171  G= 205  B= 163  
R= 166  G= 205  B= 162  
R= 172  G= 206  B= 158  
R= 167  G= 207  B= 164  
R= 174  G= 208  B= 164  
R= 174  G= 208  B= 164  
R= 174  G= 202  B= 165  
R= 174  G= 208  B= 165  
R= 174  G= 201  B= 164  
R= 174  G= 207  B= 165  
R= 174  G= 208  B= 165  
R= 169  G= 207  B= 165  
R= 169  G= 209  B= 165  
R= 175  G= 202  B= 158  
R= 175  G= 208  B= 165  
R= 169  G= 207  B= 165  
R= 175  G= 208  B= 159  
R= 176  G= 208  B= 165  
R= 175  G= 208  B= 165  
R= 175  G= 203  B= 166  
R= 176  G= 209  B= 165  
R= 175  G= 208  B= 166

---Rojo---
R= 123  G= 196  B= 154  
R= 123  G= 197  B= 154  
R= 122  G= 197  B= 154  
R= 122  G= 190  B= 154  
R= 122  G= 197  B= 154  
R= 122  G= 197  B= 154  
R= 122  G= 196  B= 154  
R= 122  G= 196  B= 154  
R= 123  G= 196  B= 155  
R= 123  G= 190  B= 147  
R= 122  G= 197  B= 155  
R= 122  G= 196  B= 154  
R= 122  G= 197  B= 155  
R= 122  G= 191  B= 154  
R= 123  G= 197  B= 154  
R= 116  G= 197  B= 154  
R= 122  G= 196  B= 148  
R= 122  G= 196  B= 154  
R= 122  G= 190  B= 155  
R= 122  G= 196  B= 155  
R= 122  G= 196  B= 154  
R= 122  G= 197  B= 155  
R= 123  G= 197  B= 154  
R= 122  G= 197  B= 155  
R= 122  G= 196  B= 154  
R= 122  G= 197  B= 149  
R= 122  G= 196  B= 154  
R= 122  G= 196  B= 154  
R= 114  G= 196  B= 155  
R= 122  G= 196  B= 154  
R= 123  G= 191  B= 148  
R= 122  G= 197  B= 155  
R= 123  G= 196  B= 154  
R= 122  G= 193  B= 154  
R= 122  G= 190  B= 154 

---Naranja---
R= 126  G= 195  B= 163  
R= 125  G= 194  B= 164  
R= 125  G= 194  B= 163  
R= 125  G= 188  B= 164  
R= 126  G= 194  B= 163  
R= 125  G= 189  B= 164  
R= 125  G= 195  B= 157  
R= 125  G= 194  B= 163  
R= 126  G= 195  B= 162  
R= 119  G= 188  B= 163  
R= 126  G= 194  B= 163  
R= 125  G= 195  B= 157  
R= 119  G= 189  B= 163  
R= 125  G= 194  B= 163  
R= 125  G= 195  B= 157  
R= 126  G= 195  B= 164  
R= 125  G= 194  B= 159  
R= 125  G= 194  B= 163  
R= 126  G= 194  B= 158  
R= 126  G= 194  B= 163  
R= 126  G= 194  B= 157  
R= 125  G= 194  B= 163  
R= 125  G= 194  B= 164  
R= 125  G= 194  B= 157  
R= 119  G= 195  B= 163  
R= 125  G= 195  B= 164  
R= 125  G= 194  B= 158  
R= 125  G= 194  B= 164  
R= 125  G= 194  B= 157  
R= 124  G= 194  B= 162  
R= 125  G= 194  B= 157  
R= 119  G= 195  B= 163  
R= 126  G= 195  B= 157

---Amarillo---
R= 102  G= 131  B= 143  
R= 102  G= 131  B= 143  
R= 101  G= 130  B= 143  
R= 102  G= 124  B= 137  
R= 102  G= 131  B= 143  
R= 102  G= 128  B= 142  
R= 102  G= 131  B= 143  
R= 102  G= 131  B= 143  
R= 102  G= 130  B= 137  
R= 102  G= 130  B= 142  
R= 102  G= 131  B= 143  
R= 102  G= 130  B= 136  
R= 102  G= 130  B= 143  
R= 102  G= 130  B= 142  
R= 102  G= 130  B= 137  
R= 95  G= 124  B= 143  
R= 101  G= 130  B= 143  
R= 102  G= 130  B= 143  
R= 101  G= 131  B= 142  
R= 102  G= 124  B= 142  
R= 102  G= 130  B= 143  
R= 102  G= 130  B= 143  
R= 102  G= 124  B= 142  
R= 102  G= 131  B= 143  
R= 102  G= 131  B= 143  
R= 101  G= 125  B= 142  
R= 101  G= 130  B= 142  
R= 101  G= 131  B= 142  
R= 96  G= 130  B= 142  
R= 102  G= 130  B= 142  
R= 102  G= 130  B= 142  
R= 102  G= 124  B= 142  
R= 102  G= 131  B= 143  
R= 102  G= 130  B= 143  
R= 101  G= 130  B= 142

---Verde---
R= 146  G= 127  B= 131  
R= 146  G= 120  B= 126  
R= 139  G= 127  B= 132  
R= 146  G= 126  B= 132  
R= 146  G= 127  B= 132  
R= 140  G= 127  B= 133  
R= 146  G= 127  B= 132  
R= 147  G= 127  B= 132  
R= 138  G= 121  B= 131  
R= 146  G= 126  B= 132  
R= 146  G= 126  B= 132  
R= 146  G= 120  B= 132  
R= 146  G= 126  B= 132  
R= 145  G= 127  B= 132  
R= 146  G= 126  B= 132  
R= 146  G= 127  B= 132  
R= 140  G= 127  B= 132  
R= 146  G= 126  B= 131  
R= 146  G= 127  B= 126  
R= 146  G= 126  B= 131  
R= 146  G= 127  B= 132  
R= 140  G= 121  B= 131  
R= 146  G= 127  B= 132  
R= 146  G= 127  B= 126  
R= 146  G= 127  B= 132  
R= 146  G= 126  B= 132  
R= 146  G= 121  B= 126  
R= 147  G= 127  B= 132  
R= 146  G= 127  B= 132  
R= 147  G= 120  B= 132  
R= 146  G= 127  B= 132  
R= 146  G= 127  B= 132  
R= 146  G= 127  B= 132  
R= 146  G= 127  B= 132  
R= 146  G= 127  B= 132  
R= 146  G= 127  B= 132

---Azul---
R= 175  G= 142  B= 96  
R= 175  G= 143  B= 96  
R= 175  G= 143  B= 96  
R= 168  G= 142  B= 95  
R= 175  G= 142  B= 96  
R= 175  G= 142  B= 96  
R= 175  G= 142  B= 96  
R= 174  G= 142  B= 90  
R= 169  G= 143  B= 96  
R= 175  G= 143  B= 96  
R= 175  G= 143  B= 96  
R= 169  G= 143  B= 96  
R= 175  G= 143  B= 93  
R= 170  G= 132  B= 90  
R= 174  G= 142  B= 96  
R= 175  G= 142  B= 96  
R= 175  G= 143  B= 96  
R= 174  G= 142  B= 96  
R= 169  G= 137  B= 90  
R= 168  G= 143  B= 96  
R= 175  G= 143  B= 96  
R= 174  G= 142  B= 96  
R= 175  G= 143  B= 96  
R= 168  G= 136  B= 89  
R= 169  G= 143  B= 95  
R= 176  G= 143  B= 96  
R= 174  G= 142  B= 95  
R= 175  G= 142  B= 90  
R= 176  G= 143  B= 96  
R= 175  G= 143  B= 96  
R= 175  G= 143  B= 94  
R= 175  G= 136  B= 96  
R= 174  G= 142  B= 96  
R= 175  G= 143  B= 96  
R= 174  G= 142  B= 96  
R= 174  G= 143  B= 96  
R= 175  G= 143  B= 96  
R= 168  G= 136  B= 90  
R= 168  G= 143  B= 96
